epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4052,0,53.1302,0,0.00546,0.33333,0.02311,0.0064,2.26561,3.89195,2.06945,0,0,0
2,26.0353,0,52.5688,0,0.00595,0.33333,0.02395,0.00642,2.2582,3.87813,2.06668,1.41485e-05,1.41485e-05,1.41485e-05
3,32.6308,0,52.5464,0,0.00664,0.33333,0.02735,0.00855,2.25464,3.87326,2.07489,2.80141e-05,2.80141e-05,2.80141e-05
4,40.5281,0,52.2999,0,0.00747,0.33333,0.02704,0.00784,2.25105,3.87347,2.07321,4.15968e-05,4.15968e-05,4.15968e-05
5,46.6521,0,52.5696,0,0.0085,0.33333,0.03211,0.00951,2.27334,3.86618,2.08724,5.48965e-05,5.48965e-05,5.48965e-05
6,54.3958,0,52.387,0,0.00952,0.33333,0.04676,0.01728,2.29586,3.86915,2.1052,6.79132e-05,6.79132e-05,6.79132e-05
7,60.8165,0,52.0084,0,0.01029,0.33333,0.03384,0.0123,2.349,3.87633,2.14837,8.0647e-05,8.0647e-05,8.0647e-05
8,68.2645,0,51.7548,0,0.01126,0.33333,0.02675,0.00913,2.34767,3.87065,2.17202,9.30979e-05,9.30979e-05,9.30979e-05
9,74.801,0,51.4416,0,0.01003,0.26667,0.01797,0.00642,2.36962,3.89099,2.17591,0.000105266,0.000105266,0.000105266
10,80.7096,0,51.2906,0,0.00629,0.13333,0.00887,0.00443,2.38646,3.88455,2.23716,0.000117151,0.000117151,0.000117151
11,88.3496,0,50.9652,0,0.00943,0.2,0.01125,0.00486,2.38259,3.89677,2.2336,0.000128753,0.000128753,0.000128753
12,94.7339,0,50.7747,0,0.01034,0.26667,0.01502,0.00491,2.33712,3.94571,2.21374,0.000140072,0.000140072,0.000140072
13,102.578,0,50.5072,0,0.01067,0.26667,0.02147,0.00544,2.38296,3.93994,2.30717,0.000151108,0.000151108,0.000151108
14,108.753,0,50.1045,0,0.01067,0.26667,0.01815,0.00536,2.42407,3.93608,2.37112,0.000161861,0.000161861,0.000161861
15,116.476,0,49.8931,0,0.01142,0.33333,0.01383,0.00457,2.38145,3.96065,2.36444,0.000172332,0.000172332,0.000172332
16,122.264,0,49.6281,0,0.01126,0.33333,0.01247,0.00432,2.33059,3.9818,2.3847,0.000182519,0.000182519,0.000182519
17,129.579,0,49.265,0,0.00986,0.33333,0.01208,0.00426,2.35052,4.00736,2.413,0.000192423,0.000192423,0.000192423
18,136.058,0,48.9178,0,0.00986,0.33333,0.01208,0.00426,2.35052,4.00736,2.413,0.000202045,0.000202045,0.000202045
19,142.411,0,48.9046,0,0.00362,0.13333,0.00382,0.00166,2.36497,4.03581,2.46298,0.000211383,0.000211383,0.000211383
20,149.52,0,48.5564,0,0.00362,0.13333,0.00382,0.00166,2.36497,4.03581,2.46298,0.000220439,0.000220439,0.000220439
21,155.778,0,48.5971,0,0.00175,0.06667,0.00247,0.00099,2.36091,4.04172,2.50275,0.000229212,0.000229212,0.000229212
22,163.408,0,48.1526,0,0.00175,0.06667,0.00247,0.00099,2.36091,4.04172,2.50275,0.000237701,0.000237701,0.000237701
23,170.129,0,48.2931,0,0.00362,0.13333,0.00534,0.0016,2.31863,4.06402,2.52221,0.000245908,0.000245908,0.000245908
24,179.804,0,47.7936,0,0.00362,0.13333,0.00534,0.0016,2.31863,4.06402,2.52221,0.000253832,0.000253832,0.000253832
25,185.862,0,47.8126,0,0.00364,0.13333,0.00386,0.00128,2.34865,4.08823,2.57281,0.000261473,0.000261473,0.000261473
26,193.431,0,47.6413,0,0.00364,0.13333,0.00386,0.00128,2.34865,4.08823,2.57281,0.000268831,0.000268831,0.000268831
27,199.439,0,47.5123,0,0.00355,0.13333,0.00291,0.00057,2.33093,4.10596,2.64349,0.000275906,0.000275906,0.000275906
28,206.682,0,46.9748,0,0.00355,0.13333,0.00291,0.00057,2.33093,4.10596,2.64349,0.000282698,0.000282698,0.000282698
29,212.938,0,46.9098,0,0.00368,0.13333,0.00291,0.00117,2.36378,4.11816,2.7105,0.000289207,0.000289207,0.000289207
30,219.427,0,46.7207,0,0.00368,0.13333,0.00291,0.00117,2.36378,4.11816,2.7105,0.000295433,0.000295433,0.000295433
